,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Indonesia,Indonesia,GPE,0.16251888,1.00129880,en,109.80000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Russia,Russia,GPE,0.25324579,1.21009774,en,72.70000000,,-1,,,,,,
Hawaii,Hawaii,GPE,0.60375541,1.60174846,en,61.00000000,4023877-5,5855797,X,20.75028000,-156.50028000,PACIFIC,,NPO
Kilauea,Kilauea,GPE,0.48106638,1.37919394,en,57.80000000,,-1,,,,,,
Iceland,Iceland,GPE,0.19182730,0.66969024,en,50.50000000,4027754-9,2629691,X,65.00000000,-18.00000000,POLAR,Iceland,GIC
Mount Semeru,Mount Semeru,LOC,0.00239707,0.25403550,en,23.80000000,,-1,,,,,,
Kamchatka,Kamchatka,GPE,0.24277521,1.04727251,en,23.60000000,,-1,,,,,,
Kamchatka Peninsula,Kamchatka Peninsula,LOC,0.19839350,1.26885987,en,18.60000000,,-1,,,,,,
Kanlaon Volcano,Kanlaon Volcano,GPE,0.34945437,1.44158399,en,16.80000000,,-1,,,,,,
Japan,Japan,GPE,0.09263756,0.69263128,en,16.10000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Semeru,Semeru,GPE,0.08388024,0.34322344,en,15.60000000,,-1,,,,,,
Iran,Iran,GPE,0.03001962,0.35929802,en,13.90000000,4027653-3,130758,X,32.00000000,53.00000000,ASIA,Iran,WCA
Earth,Earth,LOC,0.33144237,1.78465206,en,13.80000000,,-1,,,,,,
Mount Lewotobi,Mount Lewotobi,LOC,0.14186061,0.81829091,en,12.50000000,,-1,,,,,,
Mount Rainier,Mount Rainier,GPE,0.20859339,0.67784905,en,10.30000000,,-1,,,,,,
Pacific,Pacific,LOC,0.24991909,1.24975728,en,10.30000000,,-1,,,,,,
India,India,GPE,0.06924992,0.99608427,en,10.20000000,,-1,,,,,,
Washington,Washington,GPE,0.31805948,1.00898751,en,10.10000000,4118995-4,5815135,X,47.50012000,-120.50146900,NORTH-AMERICA,United States,WNA
Blue Lagoon,Blue Lagoon,LOC,0.08219306,0.53806623,en,9.70000000,,-1,,,,,,
