,phrase,label,sentiment,subjectivity,language,count
HONOLULU,HONOLULU,ORG,-0.05384615384615384,0.0,en,13
AP,AP,ORG,0.025000000000000005,0.0,en,12
with experts saying the likelihood of,with experts saying the likelihood of,ORG,0.0,0.0,en,11
PHIVOLCS,PHIVOLCS,ORG,0.18181818181818182,0.0,en,11
eruption at Mount Spurr,eruption at Mount Spurr,ORG,0.0,0.0,en,11
sending,sending,ORG,-0.7000000000000001,0.0,en,10
Bacolod City,Bacolod City,ORG,0.0,0.0,en,7
The Philippine Institute of Volcanology and Seismology,The Philippine Institute of Volcanology and Seismology,ORG,0.3333333333333333,0.0,en,6
ET,ET,ORG,0.0,0.0,en,4
The eruption,The eruption,ORG,0.0,0.0,en,4
the side of the Anak Krakatau volcano collapsed,the side of the Anak Krakatau volcano collapsed,ORG,0.0,0.0,en,4
Mount Kaputar,Mount Kaputar,ORG,0.0,0.0,en,4
OCD,OCD,ORG,0.0,0.0,en,4
The clip,The clip,ORG,0.0,0.0,en,4
the eruption,the eruption,ORG,0.0,0.0,en,3
Geological Survey,Geological Survey,ORG,0.0,0.0,en,3
reactivated gas,reactivated gas,ORG,0.0,0.0,en,3
Today,Today,ORG,0.0,0.0,en,3
scientists say,scientists say,ORG,0.0,0.0,en,3
Residents evacuated as Guatemalan,Residents evacuated as Guatemalan,ORG,0.0,0.0,en,3
Sunday,Sunday,ORG,0.0,0.0,en,3
eruption that has paused and resumed,eruption that has paused and resumed,ORG,0.0,0.0,en,3
advisory issued on March 13,advisory issued on March 13,ORG,0.0,0.0,en,2
unelected white,unelected white,ORG,0.0,0.0,en,2
The Kilauea,The Kilauea,ORG,-0.35,0.0,en,2
Indonesian authorities raised the alert level for,Indonesian authorities raised the alert level for,ORG,0.85,0.0,en,2
The Philippine Institute of Volcanology,The Philippine Institute of Volcanology,ORG,0.0,0.0,en,2
the Philippine Institute of Volcanology and Seismology,the Philippine Institute of Volcanology and Seismology,ORG,0.0,0.0,en,2
Kings Dominion,Kings Dominion,ORG,0.0,0.0,en,2
Mount Ibu,Mount Ibu,ORG,0.0,0.0,en,2
however,however,ORG,0.0,0.0,en,2
VOLCANO,VOLCANO,ORG,0.0,0.0,en,2
the buildings,the buildings,ORG,0.0,0.0,en,2
Kilauea’s,Kilauea’s,ORG,0.0,0.0,en,2
Hawaiian Volcano Observatory scientists said,Hawaiian Volcano Observatory scientists said,ORG,0.0,0.0,en,2
Dagoth Ur is one creepy guy,Dagoth Ur is one creepy guy,ORG,-0.35,0.0,en,2
PHIVOLCS reports ash,PHIVOLCS reports ash,ORG,0.0,0.0,en,2
detected ash,detected ash,ORG,0.0,0.0,en,2
Judge overthrows conviction of owners of New Zealand island,Judge overthrows conviction of owners of New Zealand island,ORG,0.0,0.0,en,2
The ash,The ash,ORG,0.0,0.0,en,2
ash cloud,ash cloud,ORG,0.0,0.0,en,2
declared over,declared over,ORG,0.0,0.0,en,2
USGS,USGS,ORG,0.0,0.0,en,2
The U.S.,The U.S.,ORG,0.0,0.0,en,2
This article,This article,ORG,0.0,0.0,en,2
National Tsunami Warning Center has said there is no tsunami danger for the East Coast of the United States after,National Tsunami Warning Center has said there is no tsunami danger for the East Coast of the United States after,ORG,0.0,0.0,en,2
earthquake occurred east of Greenland on Sunday,earthquake occurred east of Greenland on Sunday,ORG,0.0,0.0,en,2
events &amp,events &amp,ORG,0.0,0.0,en,2
ANSA,ANSA,ORG,0.0,0.0,en,2
Reuters,Reuters,ORG,0.15000000000000002,0.0,en,2
including,including,ORG,0.0,0.0,en,2
the seventh,the seventh,ORG,0.0,0.0,en,2
owl flying out of a barn,owl flying out of a barn,ORG,1.0,0.0,en,2
GLOBE NEWSWIRE,GLOBE NEWSWIRE,ORG,0.0,0.0,en,2
The Kilauea volcano at Hawaii Volcanoes National Park is spewing lava once again,The Kilauea volcano at Hawaii Volcanoes National Park is spewing lava once again,ORG,0.0,0.0,en,2
causing it to swell,causing it to swell,ORG,0.0,0.0,en,2
