,Hazard,Causes,Mitigation,Impacts,Invalid
2025-01-17,0.0,0.0,0.0,0.0,1.0
2025-01-18,0.0,0.0,0.0,0.0,1.0
2025-01-19,0.0,0.0,0.0,0.0,4.0
2025-01-20,0.0,0.0,0.0,0.0,2.0
2025-01-22,0.0,0.0,0.0,0.0,1.0
2025-01-23,0.0,0.0,0.0,0.0,5.0
2025-01-24,0.0,0.0,0.0,0.0,1.0
2025-01-26,0.0,0.0,0.0,0.0,1.0
2025-01-27,0.0,0.0,0.0,0.0,4.0
2025-01-28,0.0,0.0,0.0,0.0,13.0
2025-01-29,0.0,0.0,0.0,0.0,1.0
2025-01-30,0.0,0.0,0.0,0.0,4.0
2025-02-01,0.0,0.0,0.0,0.0,1.0
2025-02-02,0.0,0.0,0.0,0.0,3.0
2025-02-03,0.0,0.0,0.0,0.0,3.0
2025-02-04,0.0,0.0,0.0,0.0,4.0
2025-02-05,0.0,0.0,0.0,0.0,7.0
2025-02-06,0.0,0.0,0.0,0.0,3.0
2025-02-07,0.0,0.0,0.0,0.0,5.0
2025-02-08,0.0,0.0,0.0,0.0,1.0
2025-02-09,0.0,0.0,0.0,0.0,1.0
2025-02-10,0.0,0.0,0.0,0.0,4.0
2025-02-11,0.0,0.0,0.0,0.0,5.0
2025-02-12,0.0,0.0,0.0,0.0,21.0
2025-02-13,0.0,0.0,0.0,0.0,10.0
2025-02-14,0.0,0.0,0.0,0.0,2.0
2025-02-16,0.0,0.0,0.0,0.0,2.0
2025-02-17,0.0,0.0,0.0,0.0,5.0
2025-02-18,0.0,0.0,0.0,0.0,3.0
2025-02-19,0.0,0.0,0.0,0.0,2.0
2025-02-20,0.0,0.0,0.0,0.0,6.0
2025-02-21,0.0,0.0,0.0,0.0,4.0
2025-02-22,0.0,0.0,0.0,0.0,1.0
2025-02-23,0.0,0.0,0.0,0.0,4.0
2025-02-24,0.0,0.0,0.0,0.0,3.0
2025-02-25,0.0,0.0,0.0,0.0,2.0
2025-02-26,0.0,0.0,0.0,0.0,3.0
2025-02-27,0.0,0.0,0.0,0.0,6.0
2025-02-28,0.0,0.0,0.0,0.0,5.0
2025-03-01,0.0,0.0,0.0,0.0,4.0
2025-03-02,0.0,0.0,0.0,0.0,2.0
2025-03-03,0.0,0.0,0.0,0.0,1.0
2025-03-04,0.0,0.0,0.0,0.0,2.0
2025-03-05,0.0,0.0,0.0,0.0,3.0
2025-03-06,0.0,0.0,0.0,0.0,3.0
2025-03-07,0.0,0.0,0.0,0.0,2.0
2025-03-08,0.0,0.0,0.0,0.0,3.0
2025-03-09,0.0,0.0,0.0,0.0,1.0
2025-03-10,0.0,0.0,0.0,0.0,14.0
2025-03-11,0.0,0.0,0.0,0.0,10.0
2025-03-12,0.0,0.0,0.0,0.0,4.0
2025-03-13,0.0,0.0,0.0,0.0,11.0
2025-03-14,0.0,0.0,0.0,0.0,6.0
2025-03-15,0.0,0.0,0.0,0.0,5.0
2025-03-16,0.0,0.0,0.0,0.0,2.0
2025-03-17,0.0,0.0,0.0,0.0,4.0
2025-03-18,0.0,0.0,0.0,0.0,2.0
2025-03-19,0.0,0.0,0.0,0.0,4.0
2025-03-20,0.0,0.0,0.0,0.0,9.0
2025-03-21,0.0,0.0,0.0,0.0,20.0
2025-03-22,0.0,0.0,0.0,0.0,2.0
2025-03-24,0.0,0.0,0.0,0.0,2.0
2025-03-25,0.0,0.0,0.0,0.0,2.0
2025-03-26,0.0,0.0,0.0,0.0,8.0
2025-03-27,0.0,0.0,0.0,0.0,8.0
2025-03-28,0.0,0.0,0.0,0.0,2.0
2025-03-29,0.0,0.0,0.0,0.0,2.0
2025-03-30,0.0,0.0,0.0,0.0,4.0
2025-03-31,0.0,0.0,0.0,0.0,1.0
2025-04-01,0.0,0.0,0.0,0.0,23.0
2025-04-02,0.0,0.0,0.0,0.0,4.0
2025-04-03,0.0,0.0,0.0,0.0,3.0
2025-04-04,0.0,0.0,0.0,0.0,4.0
2025-04-05,0.0,0.0,0.0,0.0,1.0
2025-04-06,0.0,0.0,0.0,0.0,1.0
2025-04-07,0.0,0.0,0.0,0.0,6.0
2025-04-08,0.0,0.0,0.0,0.0,10.0
2025-04-09,0.0,0.0,0.0,0.0,5.0
2025-04-10,0.0,0.0,0.0,0.0,4.0
2025-04-11,0.0,0.0,0.0,0.0,5.0
2025-04-13,0.0,0.0,0.0,0.0,1.0
2025-04-14,0.0,0.0,0.0,0.0,1.0
2025-04-15,0.0,0.0,0.0,0.0,7.0
2025-04-16,0.0,0.0,0.0,0.0,2.0
2025-04-17,0.0,0.0,0.0,0.0,7.0
2025-04-18,0.0,0.0,0.0,0.0,2.0
2025-04-20,0.0,0.0,0.0,0.0,2.0
2025-04-21,0.0,0.0,0.0,0.0,3.0
2025-04-22,0.0,0.0,0.0,0.0,4.0
2025-04-23,0.0,0.0,0.0,0.0,3.0
2025-04-24,0.0,0.0,0.0,0.0,1.0
2025-04-25,0.0,0.0,0.0,0.0,5.0
2025-04-26,0.0,0.0,0.0,0.0,2.0
2025-04-27,0.0,0.0,0.0,0.0,2.0
2025-04-28,0.0,0.0,0.0,0.0,2.0
2025-04-29,0.0,0.0,0.0,0.0,9.0
2025-04-30,0.0,0.0,0.0,0.0,5.0
2025-05-01,0.0,0.0,0.0,0.0,6.0
2025-05-02,0.0,0.0,0.0,0.0,3.0
2025-05-03,0.0,0.0,0.0,0.0,2.0
2025-05-04,0.0,0.0,0.0,0.0,2.0
2025-05-05,0.0,0.0,0.0,0.0,2.0
2025-05-06,0.0,0.0,0.0,0.0,1.0
2025-05-07,0.0,0.0,0.0,0.0,6.0
2025-05-08,0.0,0.0,0.0,0.0,5.0
2025-05-09,0.0,0.0,0.0,0.0,5.0
2025-05-10,0.0,0.0,0.0,0.0,3.0
2025-05-11,0.0,0.0,0.0,0.0,4.0
2025-05-12,0.0,0.0,0.0,0.0,10.0
2025-05-13,0.0,0.0,0.0,0.0,6.0
2025-05-14,0.0,0.0,0.0,0.0,6.0
2025-05-15,0.0,0.0,0.0,0.0,7.0
2025-05-16,0.0,0.0,0.0,0.0,8.0
2025-05-17,0.0,0.0,0.0,0.0,6.0
2025-05-18,0.0,0.0,0.0,0.0,3.0
2025-05-19,0.0,0.0,0.0,0.0,12.0
2025-05-20,0.0,0.0,0.0,0.0,5.0
2025-05-21,0.0,0.0,0.0,0.0,5.0
2025-05-24,0.0,0.0,0.0,0.0,5.0
2025-05-26,0.0,0.0,0.0,0.0,9.0
2025-05-27,0.0,0.0,0.0,0.0,5.0
2025-05-28,0.0,0.0,0.0,0.0,7.0
2025-05-29,0.0,0.0,0.0,0.0,1.0
2025-05-30,0.0,0.0,0.0,0.0,7.0
2025-06-01,0.0,0.0,0.0,0.0,2.0
2025-06-02,0.0,0.0,0.0,0.0,31.0
2025-06-03,0.0,0.0,0.0,0.0,10.0
2025-06-04,0.0,0.0,0.0,0.0,5.0
2025-06-05,0.0,0.0,0.0,0.0,1.0
2025-06-06,0.0,0.0,0.0,0.0,9.0
2025-06-07,0.0,0.0,0.0,0.0,3.0
2025-06-08,0.0,0.0,0.0,0.0,1.0
2025-06-09,0.0,0.0,0.0,0.0,5.0
2025-06-10,0.0,0.0,0.0,0.0,5.0
2025-06-11,0.0,0.0,0.0,0.0,3.0
2025-06-12,0.0,0.0,0.0,0.0,6.0
2025-06-13,0.0,0.0,0.0,0.0,1.0
2025-06-14,0.0,0.0,0.0,0.0,2.0
2025-06-15,0.0,0.0,0.0,0.0,3.0
2025-06-16,0.0,0.0,0.0,0.0,5.0
2025-06-17,0.0,0.0,0.0,0.0,18.0
2025-06-18,0.0,0.0,0.0,0.0,19.0
2025-06-19,0.0,0.0,0.0,0.0,6.0
2025-06-20,0.0,0.0,0.0,0.0,8.0
2025-06-21,0.0,0.0,0.0,0.0,3.0
2025-06-22,0.0,0.0,0.0,0.0,3.0
2025-06-23,0.0,0.0,0.0,0.0,14.0
2025-06-24,0.0,0.0,0.0,0.0,17.0
2025-06-25,0.0,0.0,0.0,0.0,11.0
2025-06-26,0.0,0.0,0.0,0.0,6.0
2025-06-27,0.0,0.0,0.0,0.0,3.0
2025-06-30,0.0,0.0,0.0,0.0,2.0
2025-07-01,0.0,0.0,0.8,0.0,0.7
2025-07-02,0.0,0.0,0.0,0.0,1.4
2025-07-03,2.5,0.0,0.0,0.0,1.0
2025-07-04,0.0,0.0,0.0,0.0,2.8999999999999995
2025-07-05,2.1,0.0,0.0,0.0,0.0
2025-07-06,0.8,0.0,0.0,0.0,1.8
2025-07-07,12.200000000000001,0.0,1.8,0.0,1.0
2025-07-08,8.1,0.0,0.6,0.0,2.2
2025-07-09,3.8000000000000003,0.0,0.6,0.0,2.7
2025-07-10,0.8,0.0,0.0,0.0,2.6
2025-07-11,2.2,0.0,0.0,0.0,1.2
2025-07-12,1.2999999999999998,0.0,0.0,0.0,1.0
2025-07-13,0.8,0.0,0.0,0.0,0.0
2025-07-14,0.0,0.0,0.0,0.0,0.6
2025-07-15,1.8,0.0,0.0,0.0,1.6
2025-07-16,17.9,0.0,0.9,0.0,3.0
2025-07-17,1.5,0.0,0.0,0.0,2.9
2025-07-18,2.2,0.0,0.0,0.0,0.8
2025-07-19,1.5,0.0,0.0,0.0,0.7
2025-07-20,0.7,0.0,0.0,0.0,0.0
2025-07-21,0.0,0.0,0.7,0.0,1.0
2025-07-22,1.8,0.0,0.0,0.0,0.0
2025-07-23,0.8,0.0,0.0,0.0,1.0
2025-07-25,0.0,0.0,0.0,0.0,1.0
2025-07-26,0.0,0.0,0.0,0.0,1.0
2025-07-27,3.2,0.0,0.0,0.0,1.0
2025-07-28,0.0,0.0,0.0,0.0,2.4000000000000004
2025-07-29,0.0,0.0,0.0,0.0,2.8
2025-07-30,9.700000000000001,0.0,2.2,0.7,0.0
2025-07-31,0.6,0.0,0.0,0.0,0.6
2025-08-01,2.7,0.0,0.0,0.0,0.0
2025-08-02,7.500000000000001,0.0,0.0,0.0,1.0
2025-08-03,13.400000000000002,0.0,0.0,0.0,26.0
2025-08-04,3.5999999999999996,0.0,0.0,0.0,12.0
